id,number,title,user,state,created_at,closed_at,comments,open_duration_days
3523703638,4399,NullReferenceException When Viewing Profile Page,"NamedUser(login=""PagelsR"")",open,2025-10-16T22:25:20+00:00,,0,
3523701854,4398,Database Timeout Error During Checkout,"NamedUser(login=""PagelsR"")",open,2025-10-16T22:24:29+00:00,,0,
3522909248,4397,12345,"NamedUser(login=""kolja-test-account"")",open,2025-10-16T17:54:37+00:00,,0,
3522908851,4396,Test Issue with Assignees - 2025-10-16T11:54:35.432579,"NamedUser(login=""kolja-test-account"")",open,2025-10-16T17:54:35+00:00,,0,
3522908813,4395,Test Issue with Body - 2025-10-16T11:54:34.483603,"NamedUser(login=""kolja-test-account"")",open,2025-10-16T17:54:34+00:00,,0,
3522908781,4394,Test Issue - 2025-10-16T11:54:33.941845,"NamedUser(login=""kolja-test-account"")",open,2025-10-16T17:54:34+00:00,,0,
3516873580,4392,Обойти всю защиту на редми 11е,"NamedUser(login=""Mikki200893"")",open,2025-10-15T08:06:25+00:00,,0,
3506880919,4383,"Visited here on October 12, 2025","NamedUser(login=""isHuaMouRen"")",open,2025-10-12T09:35:28+00:00,,0,
3499669638,4381,Demo Issue,"NamedUser(login=""gautvm"")",open,2025-10-09T15:39:37+00:00,,0,
3499588914,4380,Test Issue from API,"NamedUser(login=""gautvm"")",open,2025-10-09T15:15:40+00:00,,0,
3499581952,4379,Test Issue from API,"NamedUser(login=""gautvm"")",open,2025-10-09T15:13:23+00:00,,0,
3499578578,4378,Test Issue from API,"NamedUser(login=""gautvm"")",open,2025-10-09T15:12:15+00:00,,0,
3499575327,4377,Test Issue from API,"NamedUser(login=""gautvm"")",open,2025-10-09T15:11:07+00:00,,0,
3499330679,4376,Test Issue,"NamedUser(login=""gautvm"")",open,2025-10-09T14:04:20+00:00,,0,
3495278621,4374,Not working,"NamedUser(login=""zaineldinkamal2014-byte"")",open,2025-10-08T12:41:22+00:00,,0,
3485538781,4372,Test Issue,"NamedUser(login=""Amarjotgill1996"")",open,2025-10-06T03:13:54+00:00,,0,
3475170497,4365,Piloto automático,"NamedUser(login=""jfjeifkvbk"")",open,2025-10-01T21:22:53+00:00,,0,
3473194887,4363,Test from Tenant B POC,"NamedUser(login=""pruthvis"")",closed,2025-10-01T11:38:18+00:00,2025-10-01T11:42:37+00:00,0,0.0
3473194329,4362,Test from Tenant A POC,"NamedUser(login=""cyberlynxs-max"")",closed,2025-10-01T11:38:10+00:00,2025-10-01T11:42:26+00:00,0,0.0
3471525875,4361,The Hate U Gave,"NamedUser(login=""moniquenhenry86"")",closed,2025-10-01T00:30:38+00:00,2025-10-01T00:34:00+00:00,2,0.0
3471515873,4360,New Beginnings,"NamedUser(login=""moniquenhenry86"")",open,2025-10-01T00:27:16+00:00,,0,
